,accession,gene_symbol,pred_prob,raw_prob,soft_label,hard_label,mRNA
0,A0A024RBG1,NUDT4B,0.93561125,0.8900315726311423,0.6674301451828588,,0.0
1,A0A075B6H7,IGKV3-7,0.52321094,0.7001220370960181,0.2673829116289082,0.0,0.0
2,A0A075B6H8,IGKV1D-42,0.2582187,0.2869468567264898,0.0562650980709175,0.0,0.0
3,A0A075B6L6,TRBV7-3,0.72433734,0.9435294978540034,0.1409398751233538,0.0,0.0
4,A0A075B6N1,TRBV19,0.2603593,0.2896795614300241,0.1531187009119104,0.0,0.0
5,A0A075B6N2,TRBV20-1,0.23714565,0.2593410543306272,0.1288360675886224,0.0,0.3705022735854992
6,A0A075B6N3,TRBV24-1,0.672178,0.8700947590209398,0.2395064555562722,0.0,0.0
7,A0A075B6R0,TRGV2,0.16694978,0.151571307747043,0.2089658539480942,0.0,0.0
8,A0A075B6S4,IGKV1D-17,0.35804635,0.4086585193585306,0.1275063168538198,0.0,0.0
9,A0A075B759,PPIAL4E,0.9870437,0.9977238393356704,0.7142424267723033,1.0,0.3668242231412905
10,A0A087WSY6,IGKV3D-15,0.16017285,0.1390511326574963,0.2328263236227208,0.0,0.4677254012184958
11,A0A087WUL8,NBPF19,0.4279835,0.3194683225559583,0.797501271210983,1.0,1.0189670399564534
12,A0A087WUV0,ZNF892,0.16758429,0.2100572254531894,0.3738169001546985,,0.0
13,A0A087X0M5,TRBV18,0.93671614,0.9762804239734864,0.4270894772444373,,0.0
14,A0A087X1C5,CYP2D7,0.22520527,0.2430088132922041,0.3697019410313211,,0.0357087070449115
15,A0A096LP49,CCDC187,0.35222343,0.4015603565158945,0.3600361722580297,,0.178123744910768
16,A0A096LP55,UQCRHL,0.9872974,0.9958599089781004,0.8826281520594107,1.0,3.94707813435204
17,A0A096LPI5,CCDC28A-AS1,0.6448853,0.8397962672197636,0.0713576817260969,0.0,0.1115755699090355
18,A0A0A0MS06,TRBV23-1,0.41539088,0.4826506308116496,0.1736890157482942,0.0,0.0
19,A0A0A0MS15,IGHV3-49,0.9747434,0.9963948946195004,0.0310909589087866,0.0,0.0
20,A0A0A0MT36,IGKV6D-21,0.37923476,0.4349495991186257,0.0510268311542206,0.0,0.0
21,A0A0A6YYL3,POTEB,0.30257034,0.3417966118736307,0.3692130889672772,,0.0
22,A0A0B4J1V1,IGHV3-21,0.9763,0.9998821401669432,0.807303247340953,1.0,0.0
23,A0A0B4J1V2,IGHV2-26,0.47180754,0.5726614325070182,0.5897901701273878,,0.0
24,A0A0B4J1X5,IGHV3-74,0.9761644,0.9995393043611476,0.7805881284782202,1.0,0.0
