Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Axon guidance	11/182	6.125023e-03	9.967094e-01	0	0	2.548054e+00	1.298328e+01	ENAH;MYL5;EPHA7;ABLIM1;ABLIM2;RYK;NFATC3;PAK6;SLIT2;EPHA1;SRGAP1
KEGG_2021_Human	Folate biosynthesis	3/26	2.622353e-02	9.967094e-01	0	0	5.122195e+00	1.865041e+01	TH;ALPL;MOCS1
KEGG_2021_Human	p53 signaling pathway	5/73	3.564751e-02	9.967094e-01	0	0	2.892504e+00	9.643828e+00	SERPINE1;BCL2;TNFRSF10B;MDM4;THBS1
KEGG_2021_Human	Primary immunodeficiency	3/38	6.849440e-02	9.967094e-01	0	0	3.363940e+00	9.018735e+00	CIITA;RFX5;BTK
KEGG_2021_Human	Lysine degradation	4/63	7.223919e-02	9.967094e-01	0	0	2.662832e+00	6.997316e+00	NSD3;MECOM;NSD2;EZH2
KEGG_2021_Human	Proteoglycans in cancer	9/205	7.227048e-02	9.967094e-01	0	0	1.809090e+00	4.753093e+00	ERBB3;WNT7B;FZD6;ERBB2;HSPG2;HOXD10;PPP1R12C;THBS1;SLC9A1
KEGG_2021_Human	TGF-beta signaling pathway	5/94	8.612452e-02	9.967094e-01	0	0	2.207615e+00	5.412986e+00	ZFYVE16;ACVR1C;ID1;EP300;THBS1
KEGG_2021_Human	Porphyrin and chlorophyll metabolism	3/43	9.164476e-02	9.967094e-01	0	0	2.942692e+00	7.032549e+00	ALAS2;FECH;COX10
KEGG_2021_Human	ABC transporters	3/45	1.016992e-01	9.967094e-01	0	0	2.802275e+00	6.405260e+00	ABCA5;ABCC8;ABCA3
KEGG_2021_Human	Inositol phosphate metabolism	4/73	1.093581e-01	9.967094e-01	0	0	2.275743e+00	5.036509e+00	INPP5B;INPPL1;PIK3C2G;SYNJ2
KEGG_2021_Human	NF-kappa B signaling pathway	5/104	1.187956e-01	9.967094e-01	0	0	1.983601e+00	4.225766e+00	CARD10;BTK;BCL2;PRKCQ;MALT1
KEGG_2021_Human	Autophagy	6/137	1.284940e-01	9.967094e-01	0	0	1.799545e+00	3.692438e+00	RUBCN;ATG16L2;EIF2AK3;BCL2;PRKCQ;ATG4A
KEGG_2021_Human	Focal adhesion	8/201	1.312229e-01	9.967094e-01	0	0	1.630003e+00	3.310305e+00	MYL5;COL6A2;ERBB2;TNC;BCL2;PAK6;PPP1R12C;THBS1
KEGG_2021_Human	HIF-1 signaling pathway	5/109	1.370284e-01	9.967094e-01	0	0	1.887749e+00	3.752028e+00	IFNGR2;SERPINE1;ERBB2;BCL2;EP300
KEGG_2021_Human	B cell receptor signaling pathway	4/81	1.440246e-01	9.967094e-01	0	0	2.038463e+00	3.950074e+00	INPPL1;BTK;NFATC3;MALT1
KEGG_2021_Human	Butanoate metabolism	2/28	1.538802e-01	9.967094e-01	0	0	3.014239e+00	5.641393e+00	ACSM3;ACSM2A
KEGG_2021_Human	Tuberculosis	7/180	1.644543e-01	9.967094e-01	0	0	1.589548e+00	2.869330e+00	CIITA;IFNGR2;RFX5;MRC1;BCL2;EP300;MALT1
KEGG_2021_Human	ECM-receptor interaction	4/88	1.774013e-01	9.967094e-01	0	0	1.867917e+00	3.230265e+00	COL6A2;TNC;HSPG2;THBS1
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	4/89	1.823698e-01	9.967094e-01	0	0	1.845847e+00	3.141112e+00	BATF2;IFNGR2;NFATC3;PRKCQ
KEGG_2021_Human	Base excision repair	2/33	1.987280e-01	9.967094e-01	0	0	2.527423e+00	4.083855e+00	POLE2;MUTYH
KEGG_2021_Human	Osteoclast differentiation	5/127	2.114617e-01	9.967094e-01	0	0	1.607735e+00	2.497957e+00	JUND;IFNGR2;CAMK4;BTK;TREM2
KEGG_2021_Human	Purine metabolism	5/129	2.204383e-01	9.967094e-01	0	0	1.581641e+00	2.391658e+00	ADCY10;NPR2;ADA2;DCK;AK9
KEGG_2021_Human	Phosphatidylinositol signaling system	4/97	2.236246e-01	9.967094e-01	0	0	1.686369e+00	2.525821e+00	INPP5B;INPPL1;PIK3C2G;SYNJ2
KEGG_2021_Human	DNA replication	2/36	2.263209e-01	9.967094e-01	0	0	2.304060e+00	3.423375e+00	POLE2;DNA2
KEGG_2021_Human	Starch and sucrose metabolism	2/36	2.263209e-01	9.967094e-01	0	0	2.304060e+00	3.423375e+00	GANC;PGM2L1
KEGG_2021_Human	Long-term potentiation	3/67	2.340413e-01	9.967094e-01	0	0	1.836914e+00	2.667673e+00	CAMK4;EP300;RAPGEF3
KEGG_2021_Human	Wnt signaling pathway	6/166	2.350174e-01	9.967094e-01	0	0	1.471171e+00	2.130397e+00	RYK;CTNND2;WNT7B;FZD6;NFATC3;EP300
KEGG_2021_Human	Renal cell carcinoma	3/69	2.473802e-01	9.967094e-01	0	0	1.781067e+00	2.487845e+00	ARNT2;EP300;PAK6
KEGG_2021_Human	Protein digestion and absorption	4/103	2.559982e-01	9.967094e-01	0	0	1.583675e+00	2.157892e+00	COL14A1;COL6A2;SLC3A1;SLC1A5
KEGG_2021_Human	T cell receptor signaling pathway	4/104	2.614863e-01	9.967094e-01	0	0	1.567758e+00	2.102948e+00	NFATC3;PAK6;PRKCQ;MALT1
KEGG_2021_Human	Bladder cancer	2/41	2.727698e-01	9.967094e-01	0	0	2.008151e+00	2.608844e+00	ERBB2;THBS1
KEGG_2021_Human	Apoptosis	5/142	2.812323e-01	9.967094e-01	0	0	1.430598e+00	1.814820e+00	DAXX;EIF2AK3;BCL2;TNFRSF10B;CTSW
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	5/143	2.860490e-01	9.967094e-01	0	0	1.420158e+00	1.777459e+00	ACVR1C;KAT6A;WNT7B;FZD6;ID1
KEGG_2021_Human	Regulation of actin cytoskeleton	7/218	3.027895e-01	9.967094e-01	0	0	1.300717e+00	1.553989e+00	ENAH;MYL5;ITGAD;ARHGEF4;PAK6;PPP1R12C;SLC9A1
KEGG_2021_Human	Basal transcription factors	2/45	3.098843e-01	9.967094e-01	0	0	1.820972e+00	2.133372e+00	GTF2B;GTF2E1
KEGG_2021_Human	MAPK signaling pathway	9/294	3.136939e-01	9.967094e-01	0	0	1.238410e+00	1.435736e+00	DAXX;CACNG8;JUND;MECOM;MAPKAPK3;ERBB3;ERBB2;NFATC3;MAPT
