Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	20/89	1.009126e-05	3.007195e-03	0	0	3.527145e+00	4.057572e+01	BATF2;MAP3K3;IFNGR2;NFATC3;PIK3R3;NFATC2;PIK3R2;RASGRP1;MAPK12;MAPK13;ZAP70;MAPK11;PPP3R1;RPS6KB1;RPS6KB2;PRKCQ;JAK2;RAF1;NFKBIE;JAK1
KEGG_2021_Human	Th1 and Th2 cell differentiation	19/92	5.810630e-05	8.657838e-03	0	0	3.164402e+00	3.086316e+01	NOTCH3;MAML1;IFNGR2;NFATC3;NFATC2;GATA3;RBPJ;RUNX3;MAPK12;MAPK13;ZAP70;MAPK11;HLA-DMA;PPP3R1;PRKCQ;JAK2;NFKBIE;JAK1;HLA-DQB1
KEGG_2021_Human	T cell receptor signaling pathway	20/104	1.075975e-04	1.068801e-02	0	0	2.894936e+00	2.645136e+01	PDPK1;NFATC3;PIK3R3;NFATC2;CBLB;PIK3R2;RASGRP1;MALT1;MAPK12;MAPK13;ZAP70;MAPK11;PPP3R1;CD8A;GRAP2;PAK6;PRKCQ;LCP2;RAF1;NFKBIE
KEGG_2021_Human	Axon guidance	27/182	6.968620e-04	5.191622e-02	0	0	2.119606e+00	1.540725e+01	NRP1;PIK3R3;PIK3R2;EFNA5;PPP3R1;ABLIM1;ABLIM2;SLIT1;PAK6;SLIT2;EPHB2;SRGAP1;PLXNA4;NTNG2;EPHA7;SEMA4D;EPHA8;PDPK1;RYK;PTCH1;NFATC3;NFATC2;SSH1;ENAH;MYL5;EPHA1;RAF1
KEGG_2021_Human	Th17 cell differentiation	18/107	1.232504e-03	6.414858e-02	0	0	2.455153e+00	1.644635e+01	SMAD4;IL23R;IFNGR2;NFATC3;NFATC2;GATA3;MAPK12;RUNX1;MAPK13;ZAP70;MAPK11;PPP3R1;HLA-DMA;PRKCQ;NFKBIE;JAK2;JAK1;HLA-DQB1
KEGG_2021_Human	Rap1 signaling pathway	29/210	1.437660e-03	6.414858e-02	0	0	1.949409e+00	1.275837e+01	DOCK4;LPAR2;PIK3R3;CALML3;PIK3R2;EFNA5;RASGRP2;THBS1;IGF1R;KDR;PLCE1;RALGDS;PDGFRB;PDGFRA;MAGI2;ARAP3;MAPK12;GRIN1;MAPK13;ENAH;MAPK11;KITLG;PRKD3;ID1;LCP2;RAF1;RAPGEF6;RAPGEF3;SIPA1
KEGG_2021_Human	Focal adhesion	28/201	1.506846e-03	6.414858e-02	0	0	1.968777e+00	1.279259e+01	LAMA4;TNC;PIK3R3;XIAP;PIK3R2;LAMC2;THBS1;MYLK3;MYLK;IGF1R;ERBB2;KDR;MYL10;PAK6;ITGB6;PDGFRB;PDGFRA;PDPK1;MYLPF;MYL5;MYL2;ITGA10;COL6A2;COL4A3;COL9A1;BCL2;RAF1;PPP1R12C
KEGG_2021_Human	Inositol phosphate metabolism	12/73	9.117828e-03	3.125673e-01	0	0	2.382269e+00	1.119077e+01	INPP5B;FIG4;PI4K2B;ISYNA1;SYNJ1;INPP5D;INPP5E;INPPL1;PLCE1;PIK3C2G;SYNJ2;PLCD4
KEGG_2021_Human	Tuberculosis	23/180	1.070445e-02	3.125673e-01	0	0	1.777669e+00	8.065456e+00	CIITA;APAF1;IFNGR2;CARD9;IL18;CALML3;MALT1;MAPK12;MAPK13;MRC2;MAPK11;PPP3R1;HLA-DMA;IRAK2;RFX5;MRC1;BCL2;ITGAX;EP300;RAF1;JAK2;JAK1;HLA-DQB1
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	19/143	1.302487e-02	3.125673e-01	0	0	1.857749e+00	8.064293e+00	APC2;SMAD4;PCGF2;WNT7B;FZD6;PIK3R3;PIK3R2;BMI1;ACVR2A;MAPK12;IGF1R;MAPK13;MAPK11;ACVR1C;KAT6A;ID1;RAF1;JAK2;JAK1
KEGG_2021_Human	VEGF signaling pathway	10/59	1.344194e-02	3.125673e-01	0	0	2.469763e+00	1.064314e+01	MAPK11;PPP3R1;MAPKAPK3;KDR;PIK3R3;NFATC2;PIK3R2;RAF1;MAPK12;MAPK13
KEGG_2021_Human	Fc epsilon RI signaling pathway	11/68	1.375602e-02	3.125673e-01	0	0	2.335963e+00	1.001259e+01	MAPK11;PDPK1;INPP5D;BTK;PIK3R3;LCP2;PIK3R2;GAB2;RAF1;MAPK12;MAPK13
KEGG_2021_Human	Phosphatidylinositol signaling system	14/97	1.569637e-02	3.125673e-01	0	0	2.042875e+00	8.486768e+00	PI4K2B;INPPL1;PIK3R3;CALML3;PIK3R2;PIK3C2G;SYNJ2;DGKZ;INPP5B;SYNJ1;INPP5D;INPP5E;PLCE1;PLCD4
