,protein.Accession,gene_symbol,pred_prob,protein_probability,soft_label,hard_label,mRNA_TPM,degree
1,A0A075B6H7,IGKV3-7,0.52321094,0.7001220370960181,0.2673829116289082,0.0,0.0,0.0
2,A0A075B6H8,IGKV1D-42,0.2582187,0.2869468567264898,0.0562650980709175,0.0,0.0,0.0
3,A0A075B6L6,TRBV7-3,0.72433734,0.9435294978540034,0.1409398751233538,0.0,0.0,0.0
4,A0A075B6N1,TRBV19,0.2603593,0.2896795614300241,0.1531187009119104,0.0,0.0,0.0
5,A0A075B6N2,TRBV20-1,0.23714565,0.2593410543306272,0.1288360675886224,0.0,0.3705022735854992,0.0
6,A0A075B6N3,TRBV24-1,0.672178,0.8700947590209398,0.2395064555562722,0.0,0.0,0.0
7,A0A075B6R0,TRGV2,0.16694978,0.151571307747043,0.2089658539480942,0.0,0.0,0.0
8,A0A075B6S4,IGKV1D-17,0.35804635,0.4086585193585306,0.1275063168538198,0.0,0.0,0.0
9,A0A075B759,PPIAL4E,0.9870437,0.9977238393356704,0.7142424267723033,1.0,0.3668242231412905,5.247927513443585
10,A0A087WSY6,IGKV3D-15,0.16017285,0.1390511326574963,0.2328263236227208,0.0,0.4677254012184958,0.0
11,A0A087WUL8,NBPF19,0.4279835,0.3194683225559583,0.797501271210983,1.0,1.0189670399564534,2.807354922057604
16,A0A096LP55,UQCRHL,0.9872974,0.9958599089781004,0.8826281520594107,1.0,3.94707813435204,6.807354922057604
17,A0A096LPI5,CCDC28A-AS1,0.6448853,0.8397962672197636,0.0713576817260969,0.0,0.1115755699090355,0.0
18,A0A0A0MS06,TRBV23-1,0.41539088,0.4826506308116496,0.1736890157482942,0.0,0.0,0.0
19,A0A0A0MS15,IGHV3-49,0.9747434,0.9963948946195004,0.0310909589087866,0.0,0.0,0.0
20,A0A0A0MT36,IGKV6D-21,0.37923476,0.4349495991186257,0.0510268311542206,0.0,0.0,0.0
22,A0A0B4J1V1,IGHV3-21,0.9763,0.9998821401669432,0.807303247340953,1.0,0.0,0.0
24,A0A0B4J1X5,IGHV3-74,0.9761644,0.9995393043611476,0.7805881284782202,1.0,0.0,0.0
26,A0A0B4J268,TRAV4,0.20567751,0.2148829418119804,0.1685483345321228,0.0,0.96353563780039,0.0
27,A0A0B4J2D5,GATD3B,0.97652924,0.9999021359886536,0.9999991178369144,1.0,0.0,1.0
28,A0A0C4DH24,IGKV6-21,0.37923476,0.4349495991186257,0.2047302404435024,0.0,0.0,0.0
31,A0A0C4DH33,IGHV1-24,0.2339684,0.2550503488207138,0.1003930054939775,0.0,0.0,0.0
33,A0A0C4DH42,IGHV3-66,0.9761644,0.9995393043611476,0.7434984130177912,1.0,0.0,0.0
36,A0A0G2JMI3,IGHV1-69-2,0.22171843,0.2381256718606156,0.1844903955555193,0.0,0.0,0.0
40,A0A0J9YXV3,GREP1,0.15949842,0.1377751937098759,0.2830022033071773,0.0,0.0477301433992135,0.0
41,A0A0J9YXX1,IGHV5-10-1,0.96727216,0.9870924910523956,0.1398760071984255,0.0,0.0,0.0
42,A0A0U1RQS6,TMEM275,0.15536198,0.1298225339245469,0.0,0.0,0.0,0.0
45,A0A1B0GTY4,TEX50,0.48385596,0.596584013964963,0.0757570644893843,0.0,0.0,0.0
46,A0A1B0GU33,TEX53,0.17658797,0.1685211076302163,0.0,0.0,0.0,0.0
47,A0A1B0GUA5,SMIM32,0.3321049,0.3772803375712047,0.0754882545095072,0.0,2.212727885694114,0.0
48,A0A1B0GUS4,UBE2L5,0.9760656,0.9992948378924598,0.9553278582512034,1.0,0.0884960866964619,0.0
52,A0A1B0GV03,GOLGA6L7,0.218468,0.2335227219359675,0.2642304449813263,0.0,0.1794905608172096,0.0
53,A0A1B0GV85,REELD1,0.20315732,0.2111013356360484,0.104331270257563,0.0,0.0905121506974839,0.0
55,A0A1B0GVG6,TEX54,0.29155293,0.328440848683329,0.0670820909492752,0.0,1.3296506918108872,0.0
57,A0A1B0GVH6,C13orf42,0.21423045,0.2274440498978516,0.2932358733284991,0.0,0.0,0.0
58,A0A1B0GVH7,IQCM,0.21782643,0.232608139304358,0.1999113794607401,0.0,0.0,0.0
59,A0A1B0GVM6,C11orf97,0.31129333,0.3523029060447019,0.1648114132801264,0.0,0.0336405999438667,0.0
61,A0A1B0GVZ2,FAM240B,0.48244473,0.5936513848284485,0.0551308550837916,0.0,0.0,0.0
63,A0A1B0GXF2,TRBV7-2,0.5925566,0.7908550313856506,0.131673644760501,0.0,0.0,0.0
65,A0A1W2PPK0,CPHXL2,0.18016317,0.1745797540597671,0.2544703222935204,0.0,0.0,0.0
70,A0A1W2PQL4,ZNF722,0.15751404,0.1339876375177131,0.2014120585286535,0.0,0.0,0.0
72,A0A1W2PRP0,FOXL3,0.7232121,0.9416400765473444,0.1593279927436,0.0,0.0,0.0
73,A0A286YF18,SMIM44,0.37194377,0.4258052611678161,0.1167693517195166,0.0,2.1495577251178624,0.0
75,A0A2R8Y4L2,HNRNPA1L3,0.97634596,0.9999999999993472,0.9999999992475044,1.0,0.5860782421399395,0.0
76,A0A2R8Y619,H2BK1,0.9760342,0.999218220318814,0.9479129920525992,1.0,0.0,0.0
77,A0A2R8YFL7,OOSP4A,0.31011054,0.3508808867688768,0.0,0.0,0.0,0.0
79,A0A494C086,SPDYE21,0.17139794,0.1595111152776733,0.1881875064738294,0.0,0.1782811100420617,0.0
80,A0A494C0N9,FAM246B,0.1835609,0.1802329001030591,0.1197513323784188,0.0,0.0,0.0
81,A0A494C0Y3,FAM246A,0.1835609,0.1802329001030591,0.1197513323784188,0.0,0.0,0.0
83,A0A494C191,SPDYE9,0.17139794,0.1595111152776733,0.2808131100570611,0.0,0.0,0.0
85,A0A539,TRBV4-2,0.47458044,0.5779558860944842,0.2334117053418007,0.0,0.0,0.0
86,A0A578,TRBV5-1,0.2275443,0.2462541160373999,0.1601356113366347,0.0,0.0,0.0
87,A0A590UK83,SMIM45,0.63275194,0.8275303676554929,0.0725494051294976,0.0,0.7394488365732496,0.0
88,A0A8I5KQE6,RPSA2,0.97634596,0.9999999941568868,0.9999998975584268,1.0,0.0,0.0
91,A0AVF1,IFT56,0.4791531,0.3414913864834604,0.2959042704548705,0.0,0.0,5.832890014164741
93,A0AVT1,UBA6,0.97873074,0.9317035586089656,0.93781281776548,1.0,2.1020281413209343,6.820178962415188
94,A0FGR8,ESYT2,0.9756826,0.9983872256710056,0.9995448672731586,1.0,3.2857753679072506,0.0
96,A0JNW5,BLTP3B,0.57580435,0.4259549238648267,0.7242873136040736,1.0,0.0,3.584962500721156
98,A0M8Q6,IGLC7,0.97634596,0.9999999366249532,0.9989858634585556,1.0,0.0,0.0
99,A0MZ66,SHTN1,0.95859027,0.9207319881030244,0.9205221233559616,1.0,1.2687680933319412,4.906890595608519
100,A0PG75,PLSCR5,0.33546135,0.2258771662993741,0.0239041763303105,0.0,0.0,2.584962500721156
101,A0PJX0,CIB4,0.41560858,0.293795658196013,0.0744745529094136,0.0,0.0275702854117227,4.700439718141092
102,A1A4G5,LNP1,0.2915346,0.194701234108163,0.1270700801234311,0.0,0.4516756960755527,3.700439718141092
106,A1A5C7,SLC22A23,0.18967554,0.1955577784766224,0.2015607337625262,0.0,1.2639291551268377,4.247927513443585
108,A1IGU5,ARHGEF37,0.42226964,0.1317489900668634,0.2424812603466032,0.0,0.3314454645729156,4.459431618637297
