,accession,gene_symbol,pred_prob,raw_prob,soft_label,hard_label,mRNA
0,A0A024RBG1,NUDT4B,0.9528411,0.890031573,0.667430145,,0.0
1,A0A075B6H7,IGKV3-7,0.56853944,0.700122037,0.267382912,0.0,0.0
2,A0A075B6H8,IGKV1D-42,0.23307769,0.286946857,0.056265098,0.0,0.0
3,A0A075B6L6,TRBV7-3,0.97210306,0.943529498,0.140939875,0.0,0.0
4,A0A075B6N1,TRBV19,0.23486081,0.289679561,0.153118701,0.0,0.0
5,A0A075B6N2,TRBV20-1,0.21575429,0.259341054,0.128836068,0.0,0.370502274
6,A0A075B6N3,TRBV24-1,0.6724886,0.870094759,0.239506456,0.0,0.0
7,A0A075B6R0,TRGV2,0.15996756,0.151571308,0.208965854,0.0,0.0
8,A0A075B6S4,IGKV1D-17,0.32344463,0.408658519,0.127506317,0.0,0.0
9,A0A075B759,PPIAL4E,0.9770677,0.997723839,0.714242427,1.0,0.366824223
10,A0A087WSY6,IGKV3D-15,0.1546418,0.139051133,0.232826324,0.0,0.467725401
11,A0A087WUL8,NBPF19,0.49849108,0.319468323,0.797501271,1.0,1.01896704
12,A0A087WUV0,ZNF892,0.18766843,0.210057225,0.3738169,,0.0
13,A0A087X0M5,TRBV18,0.9732308,0.976280424,0.427089477,,0.0
14,A0A087X1C5,CYP2D7,0.20609838,0.243008813,0.369701941,,0.035708707
15,A0A096LP49,CCDC187,0.31763092,0.401560357,0.360036172,,0.178123745
16,A0A096LP55,UQCRHL,0.97290444,0.995859909,0.882628152,1.0,3.947078134
17,A0A096LPI5,CCDC28A-AS1,0.656978,0.839796267,0.071357682,0.0,0.11157557
18,A0A0A0MS06,TRBV23-1,0.3866181,0.482650631,0.173689016,0.0,0.0
19,A0A0A0MS15,IGHV3-49,0.9738662,0.996394895,0.031090959,0.0,0.0
20,A0A0A0MT36,IGKV6D-21,0.34541813,0.434949599,0.051026831,0.0,0.0
21,A0A0A6YYL3,POTEB,0.27115119,0.341796612,0.369213089,,0.0
22,A0A0B4J1V1,IGHV3-21,0.97397214,0.99988214,0.807303247,1.0,0.0
23,A0A0B4J1V2,IGHV2-26,0.46560097,0.572661433,0.58979017,,0.0
24,A0A0B4J1X5,IGHV3-74,0.9739618,0.999539304,0.780588128,1.0,0.0
25,A0A0B4J1X8,IGHV3-43,0.97397214,0.99988214,0.385758908,,0.0
26,A0A0B4J268,TRAV4,0.19049756,0.214882942,0.168548335,0.0,0.963535638
27,A0A0B4J2D5,GATD3B,0.9583065,0.999902136,0.999999118,1.0,0.0
28,A0A0C4DH24,IGKV6-21,0.34541813,0.434949599,0.20473024,0.0,0.0
29,A0A0C4DH31,IGHV1-18,0.9739083,0.99777642,0.473629343,,0.0
30,A0A0C4DH32,IGHV3-20,0.97397214,0.99988214,0.497283832,,0.0
31,A0A0C4DH33,IGHV1-24,0.21317486,0.255050349,0.100393005,0.0,0.0
32,A0A0C4DH38,IGHV5-51,0.97357744,0.987092491,0.344235428,,0.0
33,A0A0C4DH42,IGHV3-66,0.9739618,0.999539304,0.743498413,1.0,0.0
34,A0A0C4DH55,IGKV3D-7,0.56853944,0.700122037,0.412433554,,0.0
35,A0A0G2JMD5,PRAMEF33,0.16236165,0.157032981,0.325603546,,0.0
36,A0A0G2JMI3,IGHV1-69-2,0.2032969,0.238125672,0.184490396,0.0,0.0
37,A0A0J9YVY3,IGHV7-4-1,0.9739348,0.998650007,0.639134392,,0.0
38,A0A0J9YWL9,TEX13C,0.25074974,0.313259692,0.387541172,,0.061026714
39,A0A0J9YX94,PNMA6F,0.2474206,0.308427033,0.38277249,,0.0
40,A0A0J9YXV3,GREP1,0.15411153,0.137775194,0.283002203,0.0,0.047730143
41,A0A0J9YXX1,IGHV5-10-1,0.97357744,0.987092491,0.139876007,0.0,0.0
42,A0A0U1RQS6,TMEM275,0.15085797,0.129822534,0.0,0.0,0.0
43,A0A0U1RRI6,CENPVL3,0.20127861,0.234564587,0.347809706,,0.0
44,A0A1B0GTU1,ZC3H11B,0.1649864,0.162909355,0.638905296,,0.234410819
45,A0A1B0GTY4,TEX50,0.48611316,0.596584014,0.075757064,0.0,0.0
46,A0A1B0GU33,TEX53,0.1675408,0.168521108,0.0,0.0,0.0
47,A0A1B0GUA5,SMIM32,0.2981847,0.377280338,0.075488255,0.0,2.212727886
48,A0A1B0GUS4,UBE2L5,0.97395444,0.999294838,0.955327858,1.0,0.088496087
49,A0A1B0GUU1,C17orf113,0.18452772,0.203460222,0.364251367,,1.037414204
50,A0A1B0GUV1,C17orf114,0.9732517,0.97691861,0.411907159,,0.206870538
51,A0A1B0GUW6,SPEM3,0.16153435,0.15515688,0.371652753,,0.0
52,A0A1B0GV03,GOLGA6L7,0.20069206,0.233522722,0.264230445,0.0,0.179490561
53,A0A1B0GV85,REELD1,0.18849804,0.211101336,0.10433127,0.0,0.090512151
54,A0A1B0GV96,CHD9NB,0.68355674,0.893339798,0.411275763,,0.0
55,A0A1B0GVG6,TEX54,0.26144713,0.328440849,0.067082091,0.0,1.329650692
56,A0A1B0GVH4,PRSS51,0.23495807,0.289828128,0.321537775,,0.2595029
57,A0A1B0GVH6,C13orf42,0.19730532,0.22744405,0.293235873,0.0,0.0
58,A0A1B0GVH7,IQCM,0.20017865,0.232608139,0.199911379,0.0,0.0
59,A0A1B0GVM6,C11orf97,0.2789711,0.352302906,0.164811413,0.0,0.0336406
60,A0A1B0GVN3,C2orf92,0.4023135,0.500516618,0.493068747,,0.505607236
61,A0A1B0GVZ2,FAM240B,0.48362038,0.593651385,0.055130855,0.0,0.0
62,A0A1B0GW35,EXOC1L,0.16640781,0.166044764,0.308369963,,0.0
63,A0A1B0GXF2,TRBV7-2,0.62920505,0.790855031,0.131673645,0.0,0.0
64,A0A1W2PPH5,TAF11L13,0.17561026,0.185604443,0.491151256,,0.0
65,A0A1W2PPK0,CPHXL2,0.17035177,0.174579754,0.254470322,0.0,0.0
66,A0A1W2PPM1,CPHXL,0.21062714,0.250761867,0.312402499,,0.0
67,A0A1W2PPW3,TAF11L12,0.49309608,0.604841772,0.380405079,,0.0
68,A0A1W2PQ09,TAF11L11,0.16255178,0.157462583,0.339086235,,0.0
69,A0A1W2PQ72,MSANTD7,0.27296275,0.344249914,0.335913382,,0.0
70,A0A1W2PQL4,ZNF722,0.15255104,0.133987638,0.201412059,0.0,0.0
71,A0A1W2PR95,IGBP1C,0.49461424,0.606646067,0.562365182,,0.0
72,A0A1W2PRP0,FOXL3,0.9533832,0.941640077,0.159327993,0.0,0.0
73,A0A286YF18,SMIM44,0.33770236,0.425805261,0.116769352,0.0,2.149557725
74,A0A2R8Y2Y2,C8orf90,0.19648336,0.225952232,0.382628008,,0.0
75,A0A2R8Y4L2,HNRNPA1L3,0.9739758,1.0,0.999999999,1.0,0.586078242
76,A0A2R8Y619,H2BK1,0.97395205,0.99921822,0.947912992,1.0,0.0
77,A0A2R8YFL7,OOSP4A,0.27790326,0.350880887,0.0,0.0,0.0
78,A0A494C071,PWWP4,0.15973216,0.151028916,0.33464467,,0.0
79,A0A494C086,SPDYE21,0.16346231,0.159511115,0.188187506,0.0,0.17828111
80,A0A494C0N9,FAM246B,0.1730249,0.1802329,0.119751332,0.0,0.0
81,A0A494C0Y3,FAM246A,0.1730249,0.1802329,0.119751332,0.0,0.0
82,A0A494C0Z2,SPDYE13,0.16346231,0.159511115,0.323310147,,0.0
83,A0A494C191,SPDYE9,0.16346231,0.159511115,0.28081311,0.0,0.0
84,A0A494C1R9,TSPY9,0.67193377,0.868967513,0.396939032,,0.0
85,A0A539,TRBV4-2,0.47017318,0.577955886,0.233411705,0.0,0.0
86,A0A578,TRBV5-1,0.20798199,0.246254116,0.160135611,0.0,0.0
87,A0A590UK83,SMIM45,0.650338,0.827530368,0.072549405,0.0,0.739448837
88,A0A8I5KQE6,RPSA2,0.9739758,0.999999994,0.999999898,1.0,0.0
89,A0AUZ9,KANSL1L,0.411431,0.300655723,0.468787834,,0.643811516
90,A0AV02,SLC12A8,0.38150355,0.415272349,0.462394694,,1.122122452
91,A0AVF1,IFT56,0.544317,0.341491386,0.29590427,0.0,0.0
