,accession,pred_prob,protein,protein_probability,mRNA,y
0,YOR369C,0.6440282464027405,YOR369C,1.0,53.8,1
1,YDL183C,0.18070605397224426,YDL183C,0.0,0.41,0
2,YDL132W,0.4367215037345886,YDL132W,0.0,1.15,1
3,YKR097W,0.7540941834449768,YKR097W,0.56,0.4,1
4,YJR055W,0.5769883990287781,YJR055W,0.0,0.81,0
5,YNL282W,0.21854296326637268,YNL282W,0.0,0.73,0
6,YJR046W,0.49321067333221436,YJR046W,0.0,0.73,0
7,YGR076C,0.5334560871124268,YGR076C,0.0,1.9,0
8,YDL167C,0.3794993758201599,YDL167C,0.0,0.87,0
9,YCL054W,0.6753976941108704,YCL054W,0.54,2.01,1
10,YPL179W,0.25385749340057373,YPL179W,0.0,1.47,0
11,YFL060C,0.448742538690567,YFL060C,0.0,0.34,0
12,YKL172W,0.6205783486366272,YKL172W,0.23,3.2,1
13,YOL025W,0.2557758092880249,YOL025W,0.0,0.72,1
14,YER110C,0.8027889728546143,YER110C,1.0,3.23,1
15,YNL067W,0.601850688457489,YNL067W,0.0,13.82,1
16,YHR090C,0.38828691840171814,YHR090C,0.0,0.72,0
17,YER124C,0.28840115666389465,YER124C,0.0,2.72,0
18,YGL019W,0.4065244793891907,YGL019W,0.0,2.02,1
19,YMR097C,0.4079095721244812,YMR097C,0.0,0.74,0
20,YGR257C,0.6200222969055176,YGR257C,0.93,1.34,0
21,YOR305W,0.18396690487861633,YOR305W,0.0,2.49,0
22,YMR145C,0.3858920633792877,YMR145C,0.0,4.44,1
23,YPR035W,0.5072845220565796,YPR035W,0.26,11.15,1
24,YGR046W,0.39571353793144226,YGR046W,0.0,0.52,0
25,YLL042C,0.28478947281837463,YLL042C,0.0,1.1,0
26,YNL097C,0.23737595975399017,YNL097C,0.24,0.82,0
27,YLR240W,0.5043760538101196,YLR240W,0.42,0.76,0
28,YER071C,0.3291756212711334,YER071C,0.0,1.06,0
29,YPL029W,0.5345759987831116,YPL029W,0.0,0.56,0
30,YGL261C,0.17884208261966705,YGL261C,0.0,0.55,0
31,YDL056W,0.4069315791130066,YDL056W,0.23,1.14,0
32,YNL271C,0.2803856134414673,YNL271C,0.0,1.12,1
33,YJL169W,0.314455509185791,YJL169W,0.0,1.77,0
34,YHL050C,0.2188812494277954,YHL050C,0.0,2.31,0
35,YLR397C,0.308266818523407,YLR397C,0.0,0.81,1
36,YDR478W,0.32815468311309814,YDR478W,0.0,0.84,0
37,YOR159C,0.4632398188114166,YOR159C,0.0,2.08,0
38,YNR034W,0.5034155249595642,YNR034W,0.0,0.83,1
39,YDR106W,0.3481138348579407,YDR106W,0.0,0.76,0
40,YOR035C,0.5198074579238892,YOR035C,0.0,0.71,1
41,YGR135W,0.6010733842849731,YGR135W,0.0,4.25,1
42,YFL066C,0.22517187893390656,YFL066C,0.0,0.72,0
43,YIL153W,0.4920729696750641,YIL153W,0.39,0.59,0
44,YOL059W,0.5753910541534424,YOL059W,0.0,2.49,1
45,YNL191W,0.6108278632164001,YNL191W,0.0,0.93,0
46,YKL126W,0.28088659048080444,YKL126W,0.0,1.35,1
47,YLR142W,0.5355572700500488,YLR142W,0.0,0.52,0
48,YLR275W,0.6236516833305359,YLR275W,0.0,1.16,0
49,YNR023W,0.2406138926744461,YNR023W,0.0,0.56,0
50,YHR117W,0.6251451969146729,YHR117W,0.0,0.87,1
51,YER130C,0.39681240916252136,YER130C,0.0,0.75,0
52,YDR325W,0.34097492694854736,YDR325W,0.0,0.94,1
53,YLR461W,0.21903079748153687,YLR461W,0.0,0.7,0
54,YLR301W,0.9448771476745605,YLR301W,1.0,4.5,1
55,YNL043C,0.33576834201812744,YNL043C,0.0,1.14,0
56,YEL026W,0.9398273825645447,YEL026W,0.99,13.19,1
57,YJL111W,0.6340335011482239,YJL111W,0.0,2.85,1
58,YDR419W,0.22572506964206696,YDR419W,0.0,0.44,0
59,YOL127W,0.8767680525779724,YOL127W,1.0,23.7,1
60,YGR241C,0.3646641969680786,YGR241C,0.0,0.87,0
61,YPL137C,0.5522754788398743,YPL137C,0.0,0.94,1
62,YPL111W,0.573438823223114,YPL111W,0.0,1.73,1
63,YHL004W,0.6378540992736816,YHL004W,0.0,0.64,1
64,YJR011C,0.4627563953399658,YJR011C,0.0,0.5,0
65,YKL060C,0.9448458552360535,YKL060C,1.0,153.36,1
66,YAL061W,0.5306060314178467,YAL061W,0.0,0.5,0
67,YLR233C,0.4943247437477112,YLR233C,0.0,0.63,0
68,YLL007C,0.5440030694007874,YLL007C,0.0,0.92,0
69,YPL139C,0.21698425710201263,YPL139C,0.0,1.3,0
70,YNR073C,0.35353079438209534,YNR073C,0.0,0.42,0
71,YPR024W,0.5924728512763977,YPR024W,0.55,0.96,1
72,YGR015C,0.36856621503829956,YGR015C,0.0,0.68,0
73,YGR275W,0.26990076899528503,YGR275W,0.0,1.47,0
74,YJL005W,0.6196791529655457,YJL005W,0.0,1.1,1
75,YNL042W,0.3359675407409668,YNL042W,0.0,0.96,0
76,YPL215W,0.36271578073501587,YPL215W,0.0,1.06,0
77,YPR043W,0.5845283269882202,YPR043W,0.0,23.61,1
78,YPL109C,0.4084007740020752,YPL109C,0.0,0.56,0
79,YBR149W,0.623890221118927,YBR149W,0.0,4.09,1
80,YMR158W,0.560379147529602,YMR158W,0.0,1.38,1
81,YJL084C,0.41059136390686035,YJL084C,0.64,0.8,0
82,YMR269W,0.3765762448310852,YMR269W,0.0,2.0,0
83,YIL076W,0.3048705756664276,YIL076W,0.0,3.9,1
84,YNL246W,0.6333996653556824,YNL246W,0.0,1.49,0
85,YPL249C,0.3372853994369507,YPL249C,0.0,0.44,1
