,accession,pred_prob,protein,protein_probability,mRNA,y
0,YOL116W,0.17134177684783936,YOL116W,0.0,0.81,0
1,YGL029W,0.359394371509552,YGL029W,0.0,2.8,0
2,YLR313C,0.28936126828193665,YLR313C,0.25,0.47,0
3,YCR039C,0.19515594840049744,YCR039C,0.0,1.83,0
4,YLR359W,0.9394385814666748,YLR359W,1.0,6.62,1
5,YKL024C,0.9440082907676697,YKL024C,1.0,3.25,1
6,YJL106W,0.17622128129005432,YJL106W,0.0,0.54,0
7,YER176W,0.3890620768070221,YER176W,0.41,1.35,0
8,YGR246C,0.3212202191352844,YGR246C,0.24,1.51,1
9,YBL099W,0.9032566547393799,YBL099W,1.0,4.07,1
10,YGR155W,0.8047376871109009,YGR155W,1.0,7.95,1
11,YBR012C,0.1446971595287323,YBR012C,0.0,0.79,0
12,YGL019W,0.944707453250885,YGL019W,1.0,2.02,1
13,YIL159W,0.17544333636760712,YIL159W,0.21,0.62,0
14,YDR447C,0.359394371509552,YDR447C,0.0,33.98,1
15,YOL083W,0.2114541083574295,YOL083W,0.55,0.75,0
16,YLR158C,0.21492670476436615,YLR158C,0.0,1.14,0
17,YJL223C,0.13934928178787231,YJL223C,0.0,0.84,0
18,YMR137C,0.25868985056877136,YMR137C,0.6,0.41,0
19,YNL001W,0.34920036792755127,YNL001W,0.86,1.47,1
20,YLR191W,0.20075201988220215,YLR191W,0.0,0.82,0
21,YDR147W,0.2893679440021515,YDR147W,0.42,0.59,0
22,YDL029W,0.9404589533805847,YDL029W,1.0,3.73,1
23,YCR016W,0.321826308965683,YCR016W,0.0,2.5,0
24,YHR115C,0.2833262085914612,YHR115C,0.0,0.79,0
25,YBR118W,0.359394371509552,YBR118W,0.0,25.3,1
26,YGR251W,0.6287928223609924,YGR251W,0.85,1.61,0
27,YIR032C,0.17066529393196106,YIR032C,0.0,0.46,0
28,YJR149W,0.359394371509552,YJR149W,0.0,0.51,0
29,YLL007C,0.2950171232223511,YLL007C,0.0,0.92,0
30,YDL088C,0.359394371509552,YDL088C,0.0,1.0,0
31,YPL005W,0.359394371509552,YPL005W,0.0,0.6,0
32,YBR007C,0.359394371509552,YBR007C,0.0,0.71,0
33,YMR041C,0.2760958969593048,YMR041C,0.0,0.42,0
34,YPL154C,0.7916489243507385,YPL154C,1.0,13.31,1
35,YFL066C,0.13798782229423523,YFL066C,0.0,0.72,0
36,YBR028C,0.8461756706237793,YBR028C,0.95,0.93,0
37,YKR013W,0.25438377261161804,YKR013W,0.0,2.17,0
38,YOR033C,0.49498409032821655,YOR033C,0.98,0.79,0
39,YDR129C,0.9432833790779114,YDR129C,1.0,4.02,1
40,YAR008W,0.359394371509552,YAR008W,0.0,2.4,0
41,YGL016W,0.21845756471157074,YGL016W,0.0,1.46,1
42,YJL206C,0.3254355192184448,YJL206C,0.78,0.93,0
43,YOR028C,0.2125493288040161,YOR028C,0.0,0.67,0
44,YOR281C,0.35913434624671936,YOR281C,0.0,1.54,1
45,YER055C,0.939351499080658,YER055C,1.0,8.22,1
46,YDL184C,0.359394371509552,YDL184C,0.0,125.56,0
47,YHR061C,0.359394371509552,YHR061C,0.0,0.71,0
48,YBR034C,0.9418208599090576,YBR034C,1.0,3.05,1
49,YDL198C,0.9439668655395508,YDL198C,1.0,1.59,1
50,YIL046W,0.19450929760932922,YIL046W,0.0,0.8,0
51,YBR105C,0.19712810218334198,YBR105C,0.0,1.33,0
52,YKL162C,0.1643761247396469,YKL162C,0.33,0.44,0
53,YDL083C,0.359394371509552,YDL083C,0.0,25.78,1
54,YKL114C,0.359394371509552,YKL114C,0.0,2.87,1
55,YBL058W,0.9416781067848206,YBL058W,1.0,2.78,1
56,YIR003W,0.4984356462955475,YIR003W,0.81,0.7,1
57,YIR030C,0.21994078159332275,YIR030C,0.0,0.3,0
58,YKR101W,0.22007854282855988,YKR101W,0.0,0.45,0
59,YML021C,0.359394371509552,YML021C,0.0,0.92,0
60,YML056C,0.942962110042572,YML056C,1.0,5.95,1
61,YBR010W,0.359394371509552,YBR010W,0.0,32.24,1
62,YPR178W,0.19529838860034943,YPR178W,0.0,0.69,0
63,YOR166C,0.359394371509552,YOR166C,0.0,1.21,0
64,YOR302W,0.3136499226093292,YOR302W,0.0,2.03,0
65,YPL015C,0.359394371509552,YPL015C,0.0,1.85,0
66,YOL058W,0.9413339495658875,YOL058W,1.0,2.9,1
67,YDL103C,0.9417715668678284,YDL103C,1.0,1.19,1
68,YIL024C,0.359394371509552,YIL024C,0.0,0.45,0
69,YML064C,0.1709693819284439,YML064C,0.0,1.41,0
70,YDL082W,0.359394371509552,YDL082W,0.0,19.52,1
71,YGR080W,0.6186503767967224,YGR080W,0.96,1.17,1
72,YGL206C,0.9437118172645569,YGL206C,1.0,1.83,1
73,YLR316C,0.16442085802555084,YLR316C,0.0,0.84,0
74,YBR063C,0.359394371509552,YBR063C,0.0,0.67,0
75,YDR381W,0.9224391579627991,YDR381W,1.0,5.22,1
76,YGR186W,0.2453935593366623,YGR186W,0.45,3.0,1
77,YBR146W,0.17692160606384277,YBR146W,0.0,1.55,1
78,YJL173C,0.5326038002967834,YJL173C,0.99,2.82,1
79,YNL220W,0.944046676158905,YNL220W,1.0,7.3,1
80,YOL097C,0.9416455626487732,YOL097C,1.0,3.99,1
81,YDL075W,0.24686865508556366,YDL075W,0.0,41.32,1
82,YDL243C,0.14925503730773926,YDL243C,0.0,0.82,0
83,YHR104W,0.9426485896110535,YHR104W,1.0,1.05,1
84,YBR111C,0.6186503767967224,YBR111C,0.96,3.6,1
85,YER021W,0.9377614259719849,YER021W,1.0,2.86,1
86,YMR061W,0.943756103515625,YMR061W,1.0,1.09,1
87,YNL231C,0.9138190746307373,YNL231C,1.0,2.47,1
88,YJL005W,0.5588384866714478,YJL005W,1.0,1.1,1
89,YJR029W,0.19046609103679657,YJR029W,0.0,4.94,1
90,YJR030C,0.35882851481437683,YJR030C,0.86,0.88,0
91,YBR112C,0.9347849488258362,YBR112C,1.0,1.74,1
92,YJR132W,0.9422235488891602,YJR132W,1.0,1.24,1
93,YDR483W,0.6876581907272339,YDR483W,1.0,4.48,1
94,YFR029W,0.17386144399642944,YFR029W,0.0,0.33,0
95,YMR156C,0.20148812234401703,YMR156C,0.0,0.49,0
96,YER164W,0.7611486911773682,YER164W,1.0,1.69,1
97,YBR138C,0.16764365136623383,YBR138C,0.0,0.37,0
98,YDR512C,0.1651611626148224,YDR512C,0.0,1.28,0
99,YBR264C,0.359394371509552,YBR264C,0.0,0.97,0
100,YJL075C,0.1446971595287323,YJL075C,0.0,1.2,0
101,YDR254W,0.14903807640075684,YDR254W,0.0,0.34,0
102,YKR022C,0.205861434340477,YKR022C,0.55,0.61,0
103,YJL039C,0.9421308636665344,YJL039C,0.99,1.4,1
104,YPL272C,0.24552370607852936,YPL272C,0.64,0.48,0
105,YMR302C,0.899846076965332,YMR302C,1.0,1.23,1
106,YPL012W,0.9402807950973511,YPL012W,1.0,1.86,1
107,YLR082C,0.17732740938663483,YLR082C,0.39,0.66,0
108,YHR216W,0.359394371509552,YHR216W,0.0,1.37,1
109,YOR136W,0.945549488067627,YOR136W,1.0,5.75,1
110,YMR222C,0.586834192276001,YMR222C,0.94,0.9,0
111,YOL089C,0.14383873343467712,YOL089C,0.0,1.25,0
112,YDR429C,0.9433353543281555,YDR429C,1.0,8.34,1
113,YPL212C,0.9353139400482178,YPL212C,1.0,1.71,1
114,YGR173W,0.943714439868927,YGR173W,1.0,1.86,1
115,YML111W,0.592274010181427,YML111W,0.73,1.1,0
116,YHL007C,0.8814720511436462,YHL007C,1.0,0.95,1
117,YIL164C,0.3179260194301605,YIL164C,0.24,0.5,0
118,YPL250C,0.18501651287078857,YPL250C,0.0,1.05,0
119,YGR180C,0.8844592571258545,YGR180C,1.0,9.43,1
120,YOL159C,0.1432112455368042,YOL159C,0.0,0.81,0
121,YPR046W,0.14395210146903992,YPR046W,0.0,0.71,0
122,YDL213C,0.6048691272735596,YDL213C,0.94,3.5,1
123,YLL058W,0.4201149344444275,YLL058W,0.49,0.45,0
124,YGR099W,0.3819211721420288,YGR099W,0.37,0.51,0
125,YBR155W,0.48875609040260315,YBR155W,0.61,1.26,0
126,YJL159W,0.3627413213253021,YJL159W,0.2,7.51,0
127,YLR210W,0.359394371509552,YLR210W,0.0,0.81,0
128,YFR038W,0.8318986296653748,YFR038W,1.0,0.68,0
129,YOR066W,0.14753487706184387,YOR066W,0.0,0.81,0
130,YPR120C,0.16738104820251465,YPR120C,0.0,1.28,0
131,YLR154C,0.14483094215393066,YLR154C,0.25,1.59,0
132,YAR073W,0.9443843364715576,YAR073W,1.0,1.62,1
133,YOR023C,0.13996835052967072,YOR023C,0.0,0.81,0
134,YPL173W,0.1455897092819214,YPL173W,0.0,1.53,0
135,YLR287C-A,0.359394371509552,YLR287C-A,0.0,30.97,1
136,YGR094W,0.9421296119689941,YGR094W,1.0,3.93,1
137,YLR063W,0.359394371509552,YLR063W,0.0,0.74,0
138,YMR265C,0.35458603501319885,YMR265C,0.0,0.52,0
139,YDR399W,0.8405535221099854,YDR399W,1.0,7.37,1
140,YDR277C,0.3400132656097412,YDR277C,0.0,0.44,0
141,YKR083C,0.1513029783964157,YKR083C,0.0,1.07,0
142,YGR279C,0.8692106604576111,YGR279C,0.99,12.81,1
143,YLR133W,0.2791196405887604,YLR133W,0.0,1.02,1
144,YBL033C,0.4004109501838684,YBL033C,0.44,1.35,1
145,YBR091C,0.359394371509552,YBR091C,0.0,1.37,0
146,YOL011W,0.359394371509552,YOL011W,0.0,0.81,0
147,YMR113W,0.4333471655845642,YMR113W,0.91,0.78,0
148,YDR498C,0.6009314060211182,YDR498C,0.74,0.93,0
149,YMR038C,0.8233327269554138,YMR038C,1.0,1.69,1
150,YKL160W,0.359394371509552,YKL160W,0.0,2.46,0
151,YNL197C,0.359394371509552,YNL197C,0.0,0.91,1
152,YJL109C,0.9424723386764526,YJL109C,1.0,1.68,1
153,YMR224C,0.3207337260246277,YMR224C,0.0,0.69,0
154,YLR059C,0.3446424901485443,YLR059C,0.26,0.94,1
155,YLL021W,0.940597653388977,YLL021W,1.0,0.97,1
156,YGR207C,0.46077772974967957,YGR207C,0.92,1.22,1
157,YOR326W,0.9380046129226685,YOR326W,1.0,2.15,1
158,YOL028C,0.14436279237270355,YOL028C,0.0,0.65,0
159,YPL283C,0.14284257590770721,YPL283C,0.0,3.66,0
160,YML076C,0.2458226978778839,YML076C,0.0,0.75,0
161,YAL035W,0.9387217164039612,YAL035W,1.0,5.37,1
162,YKL049C,0.155109241604805,YKL049C,0.0,0.79,0
163,YML127W,0.16917529702186584,YML127W,0.25,1.67,1
164,YBR297W,0.16207920014858246,YBR297W,0.0,0.29,0
165,YGR274C,0.21324820816516876,YGR274C,0.0,0.88,0
166,YGR240C,0.9194654822349548,YGR240C,1.0,7.41,1
167,YDR055W,0.843684732913971,YDR055W,1.0,3.14,1
168,YGL068W,0.941154420375824,YGL068W,1.0,2.27,1
169,YAL038W,0.942829966545105,YAL038W,1.0,74.36,1
170,YDR313C,0.16448011994361877,YDR313C,0.0,0.42,0
171,YLL040C,0.9386181831359863,YLL040C,1.0,1.55,1
172,YOL133W,0.18111425638198853,YOL133W,0.0,1.86,0
173,YBR158W,0.18953508138656616,YBR158W,0.0,2.81,0
174,YBL078C,0.359394371509552,YBL078C,0.0,0.86,0
175,YCL054W,0.9432511329650879,YCL054W,1.0,2.01,1
176,YBL084C,0.3308574855327606,YBL084C,0.54,0.72,0
177,YDR122W,0.36242562532424927,YDR122W,0.69,2.06,1
178,YAL029C,0.3605698347091675,YAL029C,0.72,1.53,1
179,YJR060W,0.5640730261802673,YJR060W,0.99,1.2,1
180,YDR098C,0.8847488164901733,YDR098C,1.0,1.52,1
181,YHR051W,0.5452383160591125,YHR051W,0.67,3.23,1
182,YOR385W,0.21151775121688843,YOR385W,0.59,0.91,0
183,YOR108W,0.9458246827125549,YOR108W,1.0,2.22,1
184,YJR035W,0.359394371509552,YJR035W,0.0,0.61,0
185,YGR136W,0.9064587950706482,YGR136W,1.0,1.8,1
186,YDR188W,0.9400702714920044,YDR188W,1.0,4.83,1
187,YIL078W,0.9240744113922119,YIL078W,1.0,16.0,1
188,YAR002W,0.38260218501091003,YAR002W,0.89,1.21,1
189,YML093W,0.9404945969581604,YML093W,1.0,1.68,1
190,YIL061C,0.359394371509552,YIL061C,0.0,0.37,0
191,YKL021C,0.359394371509552,YKL021C,0.0,1.47,0
192,YOR259C,0.9430122375488281,YOR259C,1.0,3.85,1
193,YJL071W,0.29696178436279297,YJL071W,0.0,0.86,0
194,YKL113C,0.359394371509552,YKL113C,0.0,1.21,1
195,YHR089C,0.9424508213996887,YHR089C,1.0,10.17,1
196,YER151C,0.5908399820327759,YER151C,1.0,0.89,1
197,YJR119C,0.3539283275604248,YJR119C,0.77,0.67,0
198,YIR025W,0.1399611085653305,YIR025W,0.0,0.32,0
199,YNR040W,0.41857224702835083,YNR040W,0.97,1.05,0
200,YMR241W,0.9005712866783142,YMR241W,1.0,3.51,1
201,YDR150W,0.893330454826355,YDR150W,1.0,1.03,1
202,YPR031W,0.14484736323356628,YPR031W,0.0,0.87,0
203,YOR347C,0.359394371509552,YOR347C,0.0,0.71,1
204,YMR048W,0.1740475594997406,YMR048W,0.0,0.54,0
205,YDL040C,0.9407927989959717,YDL040C,1.0,2.44,1
206,YDL183C,0.16229207813739777,YDL183C,0.0,0.41,0
207,YER050C,0.359394371509552,YER050C,0.0,1.7,0
208,YOL164W,0.1480584442615509,YOL164W,0.0,0.44,0
209,YKL109W,0.5437350869178772,YKL109W,0.89,2.42,0
210,YML050W,0.21398106217384338,YML050W,0.0,0.38,0
211,YNL150W,0.1372225433588028,YNL150W,0.0,1.37,0
212,YJR016C,0.9295004606246948,YJR016C,1.0,3.91,1
213,YLR039C,0.5490745306015015,YLR039C,0.72,1.35,0
214,YJL048C,0.3056233525276184,YJL048C,0.0,1.65,0
215,YOR274W,0.2924268841743469,YOR274W,0.0,0.7,0
216,YGL056C,0.9123411178588867,YGL056C,1.0,0.91,1
217,YDR224C,0.89183109998703,YDR224C,1.0,27.53,1
218,YFR040W,0.5471612811088562,YFR040W,0.89,0.87,1
219,YHR037W,0.25912338495254517,YHR037W,0.0,1.33,1
220,YLR163C,0.19971546530723572,YLR163C,0.0,1.01,1
221,YEL040W,0.48763102293014526,YEL040W,0.88,8.27,0
222,YDR120C,0.9352801442146301,YDR120C,1.0,2.56,1
223,YKL180W,0.9444164037704468,YKL180W,1.0,30.67,1
224,YFR043C,0.31579482555389404,YFR043C,0.0,0.94,0
225,YGL123W,0.9294403195381165,YGL123W,1.0,62.41,1
226,YER074W,0.359394371509552,YER074W,0.0,20.44,1
227,YHR047C,0.9424669742584229,YHR047C,1.0,1.25,1
228,YOR356W,0.9437127709388733,YOR356W,1.0,1.32,1
229,YHR030C,0.359394371509552,YHR030C,0.0,0.97,1
230,YLR328W,0.925740659236908,YLR328W,1.0,1.0,1
231,YDL059C,0.17838004231452942,YDL059C,0.0,0.62,0
232,YDR330W,0.359394371509552,YDR330W,0.0,0.39,0
233,YMR018W,0.16842253506183624,YMR018W,0.0,0.45,0
234,YLR266C,0.18235284090042114,YLR266C,0.36,0.6,0
235,YBR128C,0.20150430500507355,YBR128C,0.56,0.77,0
236,YJL057C,0.17310677468776703,YJL057C,0.0,0.66,0
237,YJR107W,0.2102321982383728,YJR107W,0.0,0.47,0
238,YLR258W,0.5932946801185608,YLR258W,0.98,2.43,1
239,YFR016C,0.4521610736846924,YFR016C,0.75,0.63,1
240,YLR360W,0.28282248973846436,YLR360W,0.69,0.87,0
241,YEL029C,0.1646946519613266,YEL029C,0.0,0.91,0
242,YHR167W,0.22423650324344635,YHR167W,0.57,0.89,0
243,YGL120C,0.9406387805938721,YGL120C,1.0,2.31,1
244,YER059W,0.15736150741577148,YER059W,0.0,1.3,0
245,YBR061C,0.19958123564720154,YBR061C,0.29,1.2,0
246,YCR009C,0.9087256193161011,YCR009C,1.0,2.7,1
247,YBR025C,0.9416161775588989,YBR025C,1.0,9.88,1
248,YDR137W,0.25618550181388855,YDR137W,0.57,0.71,0
249,YLR107W,0.6898496747016907,YLR107W,0.98,1.14,0
250,YGR006W,0.20383386313915253,YGR006W,0.0,0.38,0
251,YJL157C,0.8889075517654419,YJL157C,0.99,2.22,0
252,YMR105C,0.9362495541572571,YMR105C,0.99,0.82,1
253,YNL249C,0.3214828073978424,YNL249C,0.7,0.66,0
254,YBL095W,0.1475820541381836,YBL095W,0.0,0.89,0
255,YMR093W,0.8486666083335876,YMR093W,1.0,1.31,1
256,YML009C,0.359394371509552,YML009C,0.0,2.0,0
257,YNL138W,0.9441615343093872,YNL138W,1.0,3.7,1
258,YOR094W,0.359394371509552,YOR094W,0.0,1.47,0
259,YJR101W,0.36825937032699585,YJR101W,0.26,2.23,1
260,YML088W,0.7068812251091003,YML088W,0.99,0.7,0
261,YDR446W,0.14110717177391052,YDR446W,0.0,0.5,0
262,YOR107W,0.17260149121284485,YOR107W,0.0,0.64,0
263,YDL008W,0.26788821816444397,YDL008W,0.6,1.65,0
264,YHR068W,0.942844569683075,YHR068W,1.0,7.01,1
265,YLR301W,0.9380864500999451,YLR301W,1.0,4.5,1
266,YNL289W,0.3335341811180115,YNL289W,0.38,0.79,0
267,YBR234C,0.4985760450363159,YBR234C,0.64,3.47,1
268,YER101C,0.3315081298351288,YER101C,0.51,0.31,0
269,YEL039C,0.359394371509552,YEL039C,0.0,1.21,1
270,YKL095W,0.1459120362997055,YKL095W,0.0,0.4,0
271,YGR028W,0.359394371509552,YGR028W,0.0,1.53,0
272,YDL092W,0.9392238259315491,YDL092W,0.99,3.89,1
273,YOR124C,0.5901631116867065,YOR124C,0.93,2.23,1
274,YJL015C,0.359394371509552,YJL015C,0.0,0.81,0
275,YIL165C,0.22102269530296326,YIL165C,0.0,0.79,0
276,YGL143C,0.25559279322624207,YGL143C,0.0,0.54,0
277,YHR081W,0.3763117492198944,YHR081W,0.33,2.01,0
278,YPR025C,0.17818757891654968,YPR025C,0.0,0.73,0
279,YNL102W,0.9362495541572571,YNL102W,0.99,1.41,1
280,YJR096W,0.38890811800956726,YJR096W,0.91,1.12,1
281,YGL025C,0.16835303604602814,YGL025C,0.0,0.5,0
282,YKL169C,0.13721103966236115,YKL169C,0.0,0.77,0
283,YPL010W,0.20150120556354523,YPL010W,0.0,3.48,1
284,YGL176C,0.31851059198379517,YGL176C,0.49,0.46,0
285,YNL271C,0.8754630088806152,YNL271C,0.99,1.12,1
286,YHR168W,0.21604955196380615,YHR168W,0.0,0.7,0
287,YLR071C,0.1994985044002533,YLR071C,0.0,1.07,1
288,YMR049C,0.942844569683075,YMR049C,1.0,2.39,1
289,YER056C-A,0.359394371509552,YER056C-A,0.0,13.39,1
290,YGR294W,0.13892967998981476,YGR294W,0.0,1.68,0
291,YDL024C,0.5339348912239075,YDL024C,0.82,0.69,0
292,YPR189W,0.8095771670341492,YPR189W,1.0,1.15,1
293,YOR184W,0.934790313243866,YOR184W,1.0,3.44,1
294,YLR456W,0.14220112562179565,YLR456W,0.0,0.68,0
295,YJL177W,0.9362495541572571,YJL177W,0.99,16.3,1
296,YHR171W,0.49975043535232544,YHR171W,0.94,0.34,0
297,YDR385W,0.9441758990287781,YDR385W,1.0,23.23,1
298,YKL218C,0.359394371509552,YKL218C,0.0,0.45,1
299,YHR059W,0.18930889666080475,YHR059W,0.0,1.03,0
300,YNL134C,0.9413119554519653,YNL134C,1.0,4.01,1
301,YNL090W,0.2171863615512848,YNL090W,0.23,1.11,0
302,YFL023W,0.3066776692867279,YFL023W,0.0,0.72,0
303,YER137C,0.15971161425113678,YER137C,0.0,1.37,0
304,YFL044C,0.8121877312660217,YFL044C,0.99,1.03,0
305,YMR015C,0.5251336693763733,YMR015C,0.86,2.23,1
306,YGL150C,0.2811489999294281,YGL150C,0.62,0.9,1
307,YLR300W,0.9394557476043701,YLR300W,1.0,13.1,1
308,YPL066W,0.359394371509552,YPL066W,0.0,1.07,0
309,YHR011W,0.5534611940383911,YHR011W,0.68,0.33,0
310,YDR249C,0.1837182193994522,YDR249C,0.0,0.59,0
311,YFL036W,0.359394371509552,YFL036W,0.0,1.98,1
312,YAL021C,0.9413725137710571,YAL021C,1.0,1.39,1
313,YER168C,0.3804389238357544,YER168C,0.36,0.74,1
314,YNL287W,0.9391118288040161,YNL287W,1.0,2.66,1
315,YBR050C,0.18224552273750305,YBR050C,0.0,0.57,0
316,YHL046C,0.14763730764389038,YHL046C,0.0,0.64,0
317,YMR163C,0.17324811220169067,YMR163C,0.26,0.57,0
318,YJR146W,0.14023946225643158,YJR146W,0.0,0.44,0
319,YGR044C,0.1596439778804779,YGR044C,0.0,1.6,0
320,YGR005C,0.1524694859981537,YGR005C,0.0,1.1,1
321,YMR072W,0.8030146956443787,YMR072W,1.0,3.98,1
322,YHR074W,0.8440011739730835,YHR074W,1.0,0.97,1
323,YGL097W,0.5054797530174255,YGL097W,0.62,1.85,1
324,YER013W,0.19397203624248505,YER013W,0.0,0.69,0
325,YKR096W,0.3234592080116272,YKR096W,0.75,1.02,0
326,YGR031W,0.5370772480964661,YGR031W,0.66,1.23,0
